Unobstructed;Orthogonal planes;H-bonds bridging;exactmw;amw;lipinskiHBA;lipinskiHBD;NumRotatableBonds;NumHBD;NumHBA;NumHeavyAtoms;NumAtoms;NumHeteroatoms;NumAmideBonds;FractionCSP3;NumRings;NumAromaticRings;NumAliphaticRings;NumSaturatedRings;NumHeterocycles;NumAromaticHeterocycles;NumSaturatedHeterocycles;NumAliphaticHeterocycles;NumSpiroAtoms;NumBridgeheadAtoms;NumAtomStereoCenters;NumUnspecifiedAtomStereoCenters;labuteASA;tpsa;CrippenClogP;CrippenMR;chi0v;chi1v;chi2v;chi3v;chi4v;chi0n;chi1n;chi2n;chi3n;chi4n;hallKierAlpha;kappa1;kappa2;kappa3;Phi;exactmw;amw;lipinskiHBA;lipinskiHBD;NumRotatableBonds;NumHBD;NumHBA;NumHeavyAtoms;NumAtoms;NumHeteroatoms;NumAmideBonds;FractionCSP3;NumRings;NumAromaticRings;NumAliphaticRings;NumSaturatedRings;NumHeterocycles;NumAromaticHeterocycles;NumSaturatedHeterocycles;NumAliphaticHeterocycles;NumSpiroAtoms;NumBridgeheadAtoms;NumAtomStereoCenters;NumUnspecifiedAtomStereoCenters;labuteASA;tpsa;CrippenClogP;CrippenMR;chi0v;chi1v;chi2v;chi3v;chi4v;chi0n;chi1n;chi2n;chi3n;chi4n;hallKierAlpha;kappa1;kappa2;kappa3;Phi
0;0;0;239,0616143;239,296;4;1;2;1;3;16;29;5;1;0,363636364;2;1;1;1;1;0;1;1;0;0;1;1;94,5870652;63,24;0,9424;59,3395;9,913591358;6,511637234;5,141858628;5,141858628;3,692153188;9,097094777;4,965317756;2,884918174;2,884918174;1,738515923;-1,36;11,13515636;3,314915608;1,427240851;2,307006477;225,046;225,269;4;1;2;1;3;15;26;5;1;0,3;2;1;1;1;1;0;1;1;0;0;2;2;88,22212;63,24;0,5523;54,7225;8,990942;6,172321;4,682183;4,682183;3,303072;8,174445;4,626001;2,558246;2,558246;1,541003;-1,36;10,16779;3,341182;1,524238;2,264828
1;1;1;110,0367794;110,112;2;2;0;2;2;8;14;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;47,01987062;40,46;1,0978;29,7716;4,203828268;2,268580801;0,829737489;0,829737489;0,49303061;4,203828268;2,268580801;0,829737489;0,829737489;0,49303061;-1,18;4,966627566;1,738120536;0,904141896;1,079074671;182,0844;182,226;2;0;2;0;2;14;24;2;0;0;2;2;0;0;2;2;0;0;0;0;0;0;82,96807;25,78;2,647;57,402;7,66793;4,431513;1,880441;1,880441;1,141562;7,66793;4,431513;1,880441;1,880441;1,141562;-1,96;8,629973;4,325415;2,263272;2,666301
1;0;1;110,0367794;110,112;2;2;0;2;2;8;14;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;47,01987062;40,46;1,0978;29,7716;4,203828268;2,268580801;0,829737489;0,829737489;0,49303061;4,203828268;2,268580801;0,829737489;0,829737489;0,49303061;-1,18;4,966627566;1,738120536;0,904141896;1,079074671;364,1688;364,452;4;0;4;0;4;28;48;4;0;0,166667;5;4;1;1;4;4;0;0;0;0;0;0;163,9352;51,56;4,7152;107,912;15,33586;9,529693;5,911595;5,911595;4,749363;15,33586;9,529693;5,911595;5,911595;4,749363;-3,4;16,75047;7,312684;2,871248;4,374675
1;0;1;140,0473441;140,138;3;2;1;2;3;10;18;3;0;0,142857143;1;1;0;0;0;0;0;0;0;0;0;0;58,49835797;49,69;1,1064;36,3236;5,534726289;2,791636839;1,11175228;1,11175228;0,685873419;5,534726289;2,791636839;1,11175228;1,11175228;0,685873419;-1,38;6,736009281;2,473196904;1,312840333;1,66594773;182,0844;182,226;2;0;2;0;2;14;24;2;0;0;2;2;0;0;2;2;0;0;0;0;0;0;82,96807;25,78;2,647;57,402;7,66793;4,431513;1,880441;1,880441;1,141562;7,66793;4,431513;1,880441;1,880441;1,141562;-1,96;8,629973;4,325415;2,263272;2,666301
1;1;1;182,0843983;182,226;2;0;2;0;2;14;24;2;0;0;2;2;0;0;2;2;0;0;0;0;0;0;82,96807448;25,78;2,647;57,402;7,667929883;4,451645247;1,80039441;1,80039441;1,119872556;7,667929883;4,451645247;1,80039441;1,80039441;1,119872556;-1,96;8,629973277;4,325414892;2,263271662;2,666301066;110,0368;110,112;2;2;0;2;2;8;14;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;47,01987;40,46;1,0978;29,7716;4,203828;2,268581;0,829737;0,829737;0,493031;4,203828;2,268581;0,829737;0,829737;0,493031;-1,18;4,966628;1,738121;0,904142;1,079075
0;0;1;236,094963;236,274;3;2;0;1;1;18;30;3;2;0;3;2;1;0;1;0;0;1;0;0;0;0;105,149136;46,33;3,3872;73,5344;9,706314847;5,729003814;3,018151561;3,018151561;2,210962543;9,706314847;5,729003814;3,018151561;3,018151561;2,210962543;-2,55;10,59432558;4,035866968;1,569155278;2,375404926;110,0368;110,112;2;2;0;2;2;8;14;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;47,01987;40,46;1,0978;29,7716;4,203828;2,268581;0,849709;0,849709;0,452632;4,203828;2,268581;0,849709;0,849709;0,452632;-1,18;4,966628;1,738121;0,904142;1,079075
1;0;1;142,0742276;142,158;4;2;2;1;2;10;20;4;2;0,666666667;1;0;1;1;1;0;1;1;0;0;0;0;58,98089901;63,4;-0,9059;35,0084;5,66948757;3,260092536;1,51807673;1,51807673;1,059302557;5,66948757;3,260092536;1,51807673;1,51807673;1,059302557;-1,06;7,051856823;2,682444776;1,462392017;1,891621649;110,0368;110,112;2;2;0;2;2;8;14;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;47,01987;40,46;1,0978;29,7716;4,203828;2,268581;0,849709;0,849709;0,452632;4,203828;2,268581;0,849709;0,849709;0,452632;-1,18;4,966628;1,738121;0,904142;1,079075
1;0;0;207,9330139;208,984;4;2;0;2;4;12;14;6;0;0;1;0;1;0;0;0;0;0;0;0;0;0;76,69696854;74,6;1,155;41,0296;6,97871061;3,489355305;1,945966047;1,945966047;0,972983023;5,466852718;2,733426359;1,244667373;1,244667373;0,622333686;-1;9,090909091;2,802768166;1,088846881;2,123309217;180,0687;180,21;2;0;0;0;2;14;22;2;0;0;2;2;0;0;2;2;0;0;0;0;0;0;82,6569;25,78;1,8764;54,454;7,513229;4,290962;1,648426;1,648426;1,001471;7,513229;4,290962;1,648426;1,648426;1,001471;-2,14;8,457897;4,19737;2,17601;2,53578
0;0;1;122,0480128;122,127;3;2;1;1;2;9;15;3;1;0;1;1;0;0;1;1;0;0;0;0;0;0;52,51740601;55,98;0,1805;32,7549;4,742213232;2,503213995;0,946054734;0,946054734;0,508512197;4,742213232;2,503213995;0,946054734;0,946054734;0,508512197;-1,38;5,751233596;2,259334201;1,2528322;1,443773195;188,0473;188,182;3;2;1;2;2;14;22;3;0;0;2;2;0;0;0;0;0;0;0;0;0;0;80,228;57,53;2,2436;52,5721;7,266777;4,133389;2,094433;2,094433;1,399575;7,266777;4,133389;2,094433;2,094433;1,399575;-2,03;8,56303;3,030137;1,286598;1,853368
0;0;1;212,0069358;212,117;8;1;3;1;5;15;19;8;0;0;1;1;0;0;0;0;0;0;0;0;0;0;82,05805253;123,58;1,2012;46,7101;7,114933046;3,587292089;1,571124053;1,571124053;0,929453133;7,114933046;3,587292089;1,571124053;1,571124053;0,929453133;-2,51;10,57006405;3,698257807;2,24067889;2,606054793;328,1252;328,414;0;0;0;0;0;26;42;0;0;0;6;6;0;0;0;0;0;0;0;0;0;0;150,8397;0;7,4526;113,972;14,2376;9,047435;5,596082;5,596082;4,40762;14,2376;9,047435;5,596082;5,596082;4,40762;-3,38;13,85979;5,060648;1,788453;2,697674
